Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,ABB,500002,E,ABB INDIA LIMITED,ABB,1,0.05,ABB
BSE,bse_cm,AEGISLOG,500003,E,AEGIS LOGISTICS LTD.,AEGISLOG,1,0.05,AEGISLOG
BSE,bse_cm,ARE&M,500008,E,Amara Raja Energy & Mobility L,ARE&M,1,0.05,ARE&M
BSE,bse_cm,AMBALALSA,500009,E,AMBALAL SARABHAI ENTERPRISES L,AMBALALSA,1,0.01,AMBALALSA
BSE,bse_cm,ANDHRAPET,500012,E,ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,1,0.01,ANDHRAPET
BSE,bse_cm,ANSALAPI,500013,E,ANSAL PROPERTIES & INFRASTRUCT,ANSALAPI,1,0.01,ANSALAPI
BSE,bse_cm,UTIQUE,500014,E,UTIQUE ENTERPRISES LIMITED,UTIQUE,1,0.01,UTIQUE
BSE,bse_cm,ARUNAHTEL,500016,E,ARUNA HOTELS LTD.,ARUNAHTEL,1,0.01,ARUNAHTEL
BSE,bse_cm,BOMDYEING,500020,E,BOMBAY DYEING & MFG.CO.LTD.,BOMDYEING,1,0.05,BOMDYEING
BSE,bse_cm,ASIANHOTNR,500023,E,ASIAN HOTELS (NORTH) LIMITED,ASIANHOTNR,1,0.05,ASIANHOTNR
BSE,bse_cm,ATUL,500027,E,ATUL LTD.,ATUL,1,0.05,ATUL
BSE,bse_cm,ATVPR,500028,E,ATV PROJECTS INDIA LTD.,ATVPR,1,0.01,ATVPR
BSE,bse_cm,BAJAJELEC,500031,E,BAJAJ ELECTRICALS LTD.,BAJAJELEC,1,0.05,BAJAJELEC
BSE,bse_cm,BAJAJHIND,500032,E,BAJAJ HINDUSTHAN SUGAR LIMITED,BAJAJHIND,1,0.01,BAJAJHIND
BSE,bse_cm,FORCEMOT,500033,E,FORCE MOTORS LTD.,FORCEMOT,1,0.05,FORCEMOT
BSE,bse_cm,BAJFINANCE,500034,E,BAJAJ FINANCE LIMITED,BAJFINANCE,1,0.05,BAJFINANCE
BSE,bse_cm,BALRAMCHIN,500038,E,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,1,0.05,BALRAMCHIN
BSE,bse_cm,BANCOINDIA,500039,E,BANCO PRODUCTS (INDIA) LTD.,BANCOINDIA,1,0.05,BANCOINDIA
BSE,bse_cm,ABREL,500040,E,ADITYA BIRLA REAL ESTATE LIMIT,ABREL,1,0.05,ABREL
BSE,bse_cm,BANARISUG,500041,E,BANNARI AMMAN SUGARS LTD.,BANARISUG,1,0.05,BANARISUG
BSE,bse_cm,BASF,500042,E,BASF INDIA LTD.,BASF,1,0.05,BASF
BSE,bse_cm,BATAINDIA,500043,E,BATA INDIA LTD.,BATAINDIA,1,0.05,BATAINDIA
BSE,bse_cm,BEML,500048,E,BEML LTD.,BEML,1,0.05,BEML
BSE,bse_cm,BEL,500049,E,BHARAT ELECTRONICS LTD.,BEL,1,0.05,BEL
BSE,bse_cm,BHAGGAS,500051,E,BHAGAWATI GAS LIMITED,BHAGGAS,1,0.01,BHAGGAS
